timestamp,station_name,district,PM10,PM2.5,SO2,NO2,source
2026-03-13T15:00:00+00:00,"32Bungalows, Bhilai - CECB",Bhilai,29.0,31.0,4.0,32.0,govapi
2026-03-13T15:00:00+00:00,"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,42.0,33.0,8.0,11.0,govapi
2026-03-13T15:00:00+00:00,"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,167.0,238.0,8.0,,govapi
2026-03-13T15:00:00+00:00,"Rampur, Korba - CECB",Korba,112.0,161.0,48.0,38.0,govapi
2026-03-13T15:00:00+00:00,"Urja Nagar, Korba - CECB",Korba,160.0,191.0,19.0,23.0,govapi
2026-03-13T15:00:00+00:00,"AIIMS, Raipur - CECB",Raipur,83.0,59.0,7.0,38.0,govapi
2026-03-13T15:00:00+00:00,"Bhatagaon New ISBT, Raipur - CECB",Raipur,69.0,37.0,25.0,42.0,govapi
2026-03-13T15:00:00+00:00,"Krishak Nagar, Raipur - CECB",Raipur,71.0,50.0,11.0,21.0,govapi
2026-03-13T15:00:00+00:00,"Siltara Phase-II, Raipur - CECB",Raipur,109.0,99.0,18.0,33.0,govapi
2026-03-13T15:00:00+00:00,"OP Jindal School, Kunjemura - CECB",Kunjemura,215.0,221.0,42.0,57.0,govapi
2026-03-13T15:00:00+00:00,"Nawapara SECL Colony, Chhal - CECB",Chhal,125.0,148.0,36.0,30.0,govapi
2026-03-13T15:00:00+00:00,"Hathkhoj, Bhilai - CECB",Bhilai,55.0,48.0,41.0,56.0,govapi
2026-03-13T15:00:00+00:00,"Mangala, Bilaspur - NTPC",Bilaspur,94.0,84.0,18.0,29.0,govapi
2026-03-13T15:00:00+00:00,"Govt. Higher Secondary School, Milupara - CECB",Milupara,147.0,203.0,15.0,62.0,govapi
