STATION CODE,LOCATIONS,STATE,YEAR,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE+NITRITE (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
CG001,Mahanadi at Arrang,Chhattisgarh,2018,24.1,7.03,7.31,278.2,1.97,1.72,30.0,43.0
CG001,Mahanadi at Arrang,Chhattisgarh,2019,24.4,6.91,7.22,281.4,2.06,1.79,33.0,46.0
CG001,Mahanadi at Arrang,Chhattisgarh,2020,24.6,6.74,7.18,287.8,2.11,1.83,35.0,49.0
CG001,Mahanadi at Arrang,Chhattisgarh,2021,24.9,6.62,7.20,292.5,2.18,1.86,34.0,47.0
CG001,Mahanadi at Arrang,Chhattisgarh,2022,25.1,6.49,7.09,296.1,2.26,1.98,36.0,51.0
CG002,Kharoon River at Bundri,Chhattisgarh,2018,25.8,5.48,6.99,328.5,4.58,2.28,86.0,115.0
CG002,Kharoon River at Bundri,Chhattisgarh,2019,26.0,5.31,6.92,336.2,4.72,2.38,89.0,119.0
CG002,Kharoon River at Bundri,Chhattisgarh,2020,26.3,5.14,6.84,344.7,4.91,2.46,93.0,124.0
CG002,Kharoon River at Bundri,Chhattisgarh,2021,26.5,4.97,6.78,353.1,5.08,2.52,96.0,127.0
CG002,Kharoon River at Bundri,Chhattisgarh,2022,26.6,4.83,6.73,359.4,5.23,2.61,99.0,131.0
CG003,Seonath River at Durg,Chhattisgarh,2018,23.5,7.32,7.52,258.3,1.63,1.41,18.0,25.0
CG003,Seonath River at Durg,Chhattisgarh,2019,23.7,7.21,7.44,261.8,1.71,1.48,20.0,27.0
CG003,Seonath River at Durg,Chhattisgarh,2020,23.9,7.04,7.32,267.4,1.82,1.52,21.0,29.0
CG003,Seonath River at Durg,Chhattisgarh,2021,24.1,6.93,7.28,271.9,1.92,1.58,22.0,31.0
CG003,Seonath River at Durg,Chhattisgarh,2022,24.3,6.81,7.19,275.6,2.02,1.63,24.0,33.0
CG004,Arpa River DS Bilaspur,Chhattisgarh,2018,23.9,6.72,7.23,302.4,2.19,1.93,26.0,35.0
CG004,Arpa River DS Bilaspur,Chhattisgarh,2019,24.2,6.58,7.14,307.1,2.28,1.98,28.0,38.0
CG004,Arpa River DS Bilaspur,Chhattisgarh,2020,24.4,6.41,7.04,314.3,2.42,2.03,30.0,40.0
CG004,Arpa River DS Bilaspur,Chhattisgarh,2021,24.6,6.29,7.01,319.8,2.51,2.09,31.0,42.0
CG004,Arpa River DS Bilaspur,Chhattisgarh,2022,24.8,6.18,6.93,324.5,2.63,2.14,32.0,44.0
CG005,Kelo River US Raigarh,Chhattisgarh,2018,23.2,7.41,7.42,248.6,1.48,1.24,14.0,19.0
CG005,Kelo River US Raigarh,Chhattisgarh,2019,23.4,7.29,7.34,252.1,1.52,1.29,16.0,21.0
CG005,Kelo River US Raigarh,Chhattisgarh,2020,23.6,7.14,7.22,258.3,1.63,1.32,17.0,23.0
CG005,Kelo River US Raigarh,Chhattisgarh,2021,23.9,7.03,7.18,262.7,1.71,1.38,18.0,24.0
CG005,Kelo River US Raigarh,Chhattisgarh,2022,24.1,6.91,7.09,266.4,1.79,1.43,19.0,26.0
CG006,Kelo River DS Raigarh,Chhattisgarh,2018,25.4,5.19,6.98,368.4,4.89,2.63,126.0,168.0
CG006,Kelo River DS Raigarh,Chhattisgarh,2019,25.7,5.02,6.88,374.9,5.03,2.72,131.0,175.0
CG006,Kelo River DS Raigarh,Chhattisgarh,2020,26.0,4.84,6.78,384.2,5.28,2.81,138.0,183.0
CG006,Kelo River DS Raigarh,Chhattisgarh,2021,26.2,4.68,6.71,391.4,5.49,2.91,144.0,190.0
CG006,Kelo River DS Raigarh,Chhattisgarh,2022,26.4,4.51,6.63,397.8,5.68,3.02,149.0,197.0
CG007,Dengur Nallah Korba,Chhattisgarh,2018,27.8,3.38,6.42,504.8,11.78,5.31,608.0,810.0
CG007,Dengur Nallah Korba,Chhattisgarh,2019,28.1,3.22,6.28,512.4,12.14,5.48,625.0,832.0
CG007,Dengur Nallah Korba,Chhattisgarh,2020,28.4,3.04,6.18,525.6,12.61,5.68,649.0,862.0
CG007,Dengur Nallah Korba,Chhattisgarh,2021,28.6,2.89,6.09,534.2,13.14,5.83,671.0,888.0
CG007,Dengur Nallah Korba,Chhattisgarh,2022,28.9,2.71,5.98,543.8,13.68,6.02,695.0,923.0
